"treatment"	"h"	"p"	"repl"	"complianceRate"	"observedCompliance"
"481"	0	0	0.2	81	0.588	0.546240851630073
"482"	0	0	0.2	82	0.63	0.546240851630073
"483"	0	0	0.2	83	0.6	0.546240851630073
"484"	0	0	0.2	84	0.6	0.546240851630073
"485"	0	0	0.2	85	0.594	0.546240851630073
"486"	0	0	0.2	86	0.614	0.546240851630073
"487"	0	0	0.2	87	0.6	0.546240851630073
"488"	0	0	0.2	88	0.58	0.546240851630073
"489"	0	0	0.2	89	0.594	0.546240851630073
"490"	0	0	0.2	90	0.6	0.546240851630073
"491"	0	0	0.2	91	0.622	0.546240851630073
"492"	0	0	0.2	92	0.61	0.546240851630073
"493"	0	0	0.2	93	0.604	0.546240851630073
"494"	0	0	0.2	94	0.652	0.546240851630073
"495"	0	0	0.2	95	0.638	0.546240851630073
"496"	0	0	0.2	96	0.606	0.546240851630073
"497"	0	0	0.2	97	0.616	0.546240851630073
"498"	0	0	0.2	98	0.572	0.546240851630073
"499"	0	0	0.2	99	0.618	0.546240851630073
"500"	0	0	0.2	100	0.596	0.546240851630073
"501"	0	0	0.25	1	0.59	0.546240851630073
"502"	0	0	0.25	2	0.616	0.546240851630073
"503"	0	0	0.25	3	0.596	0.546240851630073
"504"	0	0	0.25	4	0.608	0.546240851630073
"505"	0	0	0.25	5	0.586	0.546240851630073
"506"	0	0	0.25	6	0.634	0.546240851630073
"507"	0	0	0.25	7	0.602	0.546240851630073
"508"	0	0	0.25	8	0.578	0.546240851630073
"509"	0	0	0.25	9	0.66	0.546240851630073
"510"	0	0	0.25	10	0.61	0.546240851630073
"511"	0	0	0.25	11	0.578	0.546240851630073
"512"	0	0	0.25	12	0.608	0.546240851630073
"513"	0	0	0.25	13	0.564	0.546240851630073
"514"	0	0	0.25	14	0.574	0.546240851630073
"515"	0	0	0.25	15	0.586	0.546240851630073
"516"	0	0	0.25	16	0.644	0.546240851630073
"517"	0	0	0.25	17	0.61	0.546240851630073
"518"	0	0	0.25	18	0.602	0.546240851630073
"519"	0	0	0.25	19	0.624	0.546240851630073
"520"	0	0	0.25	20	0.582	0.546240851630073
"521"	0	0	0.25	21	0.62	0.546240851630073
"522"	0	0	0.25	22	0.602	0.546240851630073
"523"	0	0	0.25	23	0.58	0.546240851630073
"524"	0	0	0.25	24	0.6	0.546240851630073
"525"	0	0	0.25	25	0.622	0.546240851630073
"526"	0	0	0.25	26	0.594	0.546240851630073
"527"	0	0	0.25	27	0.61	0.546240851630073
"528"	0	0	0.25	28	0.61	0.546240851630073
"529"	0	0	0.25	29	0.642	0.546240851630073
"530"	0	0	0.25	30	0.622	0.546240851630073
"531"	0	0	0.25	31	0.602	0.546240851630073
"532"	0	0	0.25	32	0.63	0.546240851630073
"533"	0	0	0.25	33	0.612	0.546240851630073
"534"	0	0	0.25	34	0.598	0.546240851630073
"535"	0	0	0.25	35	0.61	0.546240851630073
"536"	0	0	0.25	36	0.606	0.546240851630073
"537"	0	0	0.25	37	0.638	0.546240851630073
